Physical Lane,Pattern Lock,Pattern Transmit,Pattern Received,Bits Send,Bits Received,Bit Error Received Bit Error Ratio
Total,lock,11Q,11Q,55808102995920.0,55808102991360.0,50.0,2.871700e-11,
Total,lock,11Q,11Q,6912045555120,6912045553920,1,5.790000e-13,
Total,lock,11Q,11Q,6966154604160,6966154602240,1,5.740000e-13,
Total,lock,11Q,11Q,6966154604160,6966154604160,5,2.870000e-12,
Total,lock,11Q,11Q,6966154604160,6966154602240,0,0.000000e+00,
Total,lock,11Q,11Q,6966154604240,6966154606080,1,5.740000e-13,
Total,lock,11Q,11Q,6992749646640,6992749645440,39,2.241000e-11,
Total,lock,11Q,11Q,7019344688800,7019344688640,2,1.140000e-12,
Total,lock,11Q,11Q,7019344688640,7019344688640,1,5.700000e-13,



