Page 0x25 Registers Name,Port 123,
VDM Sample 65 MSB,0x0000,
VDM Sample 65 LSB,0x0000,
VDM Sample 66 MSB,0x0000,
VDM Sample 66 LSB,0x0000,
VDM Sample 67 MSB,0x0000,
VDM Sample 67 LSB,0x0000,
VDM Sample 68 MSB,0x0000,
VDM Sample 68 LSB,0x0000,
VDM Sample 69 MSB,0x0000,
VDM Sample 69 LSB,0x0000,
VDM Sample 70 MSB,0x0000,
VDM Sample 70 LSB,0x0000,
VDM Sample 71 MSB,0x0000,
VDM Sample 71 LSB,0x0000,
VDM Sample 72 MSB,0x0000,
VDM Sample 72 LSB,0x0000,
VDM Sample 73 MSB,0x0000,
VDM Sample 73 LSB,0x0000,
VDM Sample 74 MSB,0x0000,
VDM Sample 74 LSB,0x0000,
VDM Sample 75 MSB,0x0000,
VDM Sample 75 LSB,0x0000,
VDM Sample 76 MSB,0x0000,
VDM Sample 76 LSB,0x0000,
VDM Sample 77 MSB,0x0000,
VDM Sample 77 LSB,0x0000,
VDM Sample 78 MSB,0x0000,
VDM Sample 78 LSB,0x0000,
VDM Sample 79 MSB,0x0000,
VDM Sample 79 LSB,0x0000,
VDM Sample 80 MSB,0x0000,
VDM Sample 80 LSB,0x0000,
VDM Sample 81 MSB,0x0000,
VDM Sample 81 LSB,0x0000,
VDM Sample 82 MSB,0x0000,
VDM Sample 82 LSB,0x0000,
VDM Sample 83 MSB,0x0000,
VDM Sample 83 LSB,0x0000,
VDM Sample 84 MSB,0x0000,
VDM Sample 84 LSB,0x0000,
VDM Sample 85 MSB,0x0000,
VDM Sample 85 LSB,0x0000,
VDM Sample 86 MSB,0x0000,
VDM Sample 86 LSB,0x0000,
VDM Sample 87 MSB,0x0000,
VDM Sample 87 LSB,0x0000,
VDM Sample 88 MSB,0x0000,
VDM Sample 88 LSB,0x0000,
VDM Sample 89 MSB,0x0000,
VDM Sample 89 LSB,0x0000,
VDM Sample 90 MSB,0x0000,
VDM Sample 90 LSB,0x0000,
VDM Sample 91 MSB,0x0000,
VDM Sample 91 LSB,0x0000,
VDM Sample 92 MSB,0x0000,
VDM Sample 92 LSB,0x0000,
VDM Sample 93 MSB,0x0000,
VDM Sample 93 LSB,0x0000,
VDM Sample 94 MSB,0x0000,
VDM Sample 94 LSB,0x0000,
VDM Sample 95 MSB,0x0000,
VDM Sample 95 LSB,0x0000,
VDM Sample 96 MSB,0x0000,
VDM Sample 96 LSB,0x0000,
VDM Sample 97 MSB,0x0000,
VDM Sample 97 LSB,0x0000,
VDM Sample 98 MSB,0x0000,
VDM Sample 98 LSB,0x0000,
VDM Sample 99 MSB,0x0000,
VDM Sample 99 LSB,0x0000,
VDM Sample 100 MSB,0x0000,
VDM Sample 100 LSB,0x0000,
VDM Sample 101 MSB,0x0000,
VDM Sample 101 LSB,0x0000,
VDM Sample 102 MSB,0x0000,
VDM Sample 102 LSB,0x0000,
VDM Sample 103 MSB,0x0000,
VDM Sample 103 LSB,0x0000,
VDM Sample 104 MSB,0x0000,
VDM Sample 104 LSB,0x0000,
VDM Sample 105 MSB,0x0000,
VDM Sample 105 LSB,0x0000,
VDM Sample 106 MSB,0x0000,
VDM Sample 106 LSB,0x0000,
VDM Sample 107 MSB,0x0000,
VDM Sample 107 LSB,0x0000,
VDM Sample 108 MSB,0x0000,
VDM Sample 108 LSB,0x0000,
VDM Sample 109 MSB,0x0000,
VDM Sample 109 LSB,0x0000,
VDM Sample 110 MSB,0x0000,
VDM Sample 110 LSB,0x0000,
VDM Sample 111 MSB,0x0000,
VDM Sample 111 LSB,0x0000,
VDM Sample 112 MSB,0x0000,
VDM Sample 112 LSB,0x0000,
VDM Sample 113 MSB,0x0000,
VDM Sample 113 LSB,0x0000,
VDM Sample 114 MSB,0x0000,
VDM Sample 114 LSB,0x0000,
VDM Sample 115 MSB,0x0000,
VDM Sample 115 LSB,0x0000,
VDM Sample 116 MSB,0x0000,
VDM Sample 116 LSB,0x0000,
VDM Sample 117 MSB,0x0000,
VDM Sample 117 LSB,0x0000,
VDM Sample 118 MSB,0x0000,
VDM Sample 118 LSB,0x0000,
VDM Sample 119 MSB,0x0000,
VDM Sample 119 LSB,0x0000,
VDM Sample 120 MSB,0x0000,
VDM Sample 120 LSB,0x0000,
VDM Sample 121 MSB,0x0000,
VDM Sample 121 LSB,0x0000,
VDM Sample 122 MSB,0x0000,
VDM Sample 122 LSB,0x0000,
VDM Sample 123 MSB,0x0000,
VDM Sample 123 LSB,0x0000,
VDM Sample 124 MSB,0x0000,
VDM Sample 124 LSB,0x0000,
VDM Sample 125 MSB,0x0000,
VDM Sample 125 LSB,0x0000,
VDM Sample 126 MSB,0x0000,
VDM Sample 126 LSB,0x0000,
VDM Sample 127 MSB,0x0000,
VDM Sample 127 LSB,0x0000,
VDM Sample 128 MSB,0x0000,
VDM Sample 128 LSB,0x0000,
