Port Flow Statistics,Port 2,Port 4,
link,link up,link up,
transmitState,0,0,
lineSpeed,400000,400000,
bertBitsSent,13815153835680,14007402976720,
bertBitsReceived,13815153838080,14007402977280,
bertBitErrorsReceived,52,1048,
bertBitErrorRatio,3.760000e-12,7.480000e-11,
centralTemperature,42,42,
portTemperature,48,50,
pcpuFpgaTemperature,33,33,
bertTransmitDuration,00:22:05.379269260,00:22:05.379586740,
encoding,Unknown,Unknown,
transceiverTemp,51,55,
transceiverVoltage,3.2393000000000001,3.2452999999999999,
minLatency,0,0,
averageLatency,0,0,
maxLatency,0,0,
