Port Flow Statistics,Port 122,Port 124,
link,link up,link up,
lineSpeed,400000,400000,
transmitDuration,00:00:30.106123113,00:00:30.148592473,
framesSent,10170987535,10185335292,
framesReceived,10170987535,10185335292,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,10415091235840,10429783339008,
bitsReceived,10429783339008,10415091235840,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecTotalBitErrors,61,950,
fecMaxSymbolErrors,1,1,
fecCorrectedCodewords,61,950,
fecTotalCodewords,2584412120,2584093936,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
preFecBer,4.338795e-12,6.757972e-11,
fecMaxSymbolErrorsBin0,2584412059,2584092986,
fecMaxSymbolErrorsBin1,61,950,
fecMaxSymbolErrorsBin2,0,0,
fecMaxSymbolErrorsBin3,0,0,
fecMaxSymbolErrorsBin4,0,0,
fecMaxSymbolErrorsBin5,0,0,
fecMaxSymbolErrorsBin6,0,0,
fecMaxSymbolErrorsBin7,0,0,
fecMaxSymbolErrorsBin8,0,0,
fecMaxSymbolErrorsBin9,0,0,
fecMaxSymbolErrorsBin10,0,0,
fecMaxSymbolErrorsBin11,0,0,
fecMaxSymbolErrorsBin12,0,0,
fecMaxSymbolErrorsBin13,0,0,
fecMaxSymbolErrorsBin14,0,0,
fecMaxSymbolErrorsBin15,0,0,
fecUncorrectableCodewords,0,0,
fecTranscodingUncorrectableErrors,0,0,
l1BitsSent,12042449241440,12059436985728,
l1BitsReceived,12059436985728,12042449241440,
transceiverTemp,49,52,
encoding,Unknown,Unknown,
fecStatus,KP4-FEC,KP4-FEC,
transceiverVoltage,3.2364000000000002,3.2503000000000002,
minLatency,2270672,85897075506,
averageLatency,2270674,179975802,
maxLatency,2270686,85897075521,
Loss_Frames,0,0,
Loss%,0.0,0.0,
