Port Flow Statistics,Port 3,
link,link up,
lineSpeed,800000,
transmitDuration,00:00:30.461598107,
framesSent,20582160826,
framesReceived,20582160826,
fragments,0,
undersize,0,
oversizeAndCrcErrors,0,
vlanTaggedFramesRx,0,
flowControlFrames,0,
bitsSent,21076132685824,
bitsReceived,21076132685824,
pcsSyncErrorsReceived,0,
pcsRemoteFaultsReceived,0,
pcsLocalFaultsReceived,0,
fecTotalBitErrors,25,
fecMaxSymbolErrors,1,
fecCorrectedCodewords,25,
fecTotalCodewords,5208008480,
fecFrameLossRatio,0.000000e+00,
preFecBer,8.824080e-13,
fecMaxSymbolErrorsBin0,5208008455,
fecMaxSymbolErrorsBin1,25,
fecMaxSymbolErrorsBin2,0,
fecMaxSymbolErrorsBin3,0,
fecMaxSymbolErrorsBin4,0,
fecMaxSymbolErrorsBin5,0,
fecMaxSymbolErrorsBin6,0,
fecMaxSymbolErrorsBin7,0,
fecMaxSymbolErrorsBin8,0,
fecMaxSymbolErrorsBin9,0,
fecMaxSymbolErrorsBin10,0,
fecMaxSymbolErrorsBin11,0,
fecMaxSymbolErrorsBin12,0,
fecMaxSymbolErrorsBin13,0,
fecMaxSymbolErrorsBin14,0,
fecMaxSymbolErrorsBin15,0,
fecUncorrectableCodewords,0,
fecTranscodingUncorrectableErrors,0,
l1BitsSent,24369278417984,
l1BitsReceived,24369278417984,
transceiverTemp,55,
encoding,PAM4 106G,
fecStatus,KP4-FEC,
transceiverVoltage,3.2322000000000002,
minLatency,0,
averageLatency,0,
maxLatency,0,
