Page 0x26 Registers Name,Port 1,Port 2,
VDM Sample 129 MSB,0x0000,0x0000,
VDM Sample 129 LSB,0x0000,0x0000,
VDM Sample 130 MSB,0x0000,0x0000,
VDM Sample 130 LSB,0x0000,0x0000,
VDM Sample 131 MSB,0x0000,0x0000,
VDM Sample 131 LSB,0x0000,0x0000,
VDM Sample 132 MSB,0x0000,0x0000,
VDM Sample 132 LSB,0x0000,0x0000,
VDM Sample 133 MSB,0x0000,0x0000,
VDM Sample 133 LSB,0x0000,0x0000,
VDM Sample 134 MSB,0x0000,0x0000,
VDM Sample 134 LSB,0x0000,0x0000,
VDM Sample 135 MSB,0x0000,0x0000,
VDM Sample 135 LSB,0x0000,0x0000,
VDM Sample 136 MSB,0x0000,0x0000,
VDM Sample 136 LSB,0x0000,0x0000,
VDM Sample 137 MSB,0x0000,0x0000,
VDM Sample 137 LSB,0x0000,0x0000,
VDM Sample 138 MSB,0x0000,0x0000,
VDM Sample 138 LSB,0x0000,0x0000,
VDM Sample 139 MSB,0x0000,0x0000,
VDM Sample 139 LSB,0x0000,0x0000,
VDM Sample 140 MSB,0x0000,0x0000,
VDM Sample 140 LSB,0x0000,0x0000,
VDM Sample 141 MSB,0x0000,0x0000,
VDM Sample 141 LSB,0x0000,0x0000,
VDM Sample 142 MSB,0x0000,0x0000,
VDM Sample 142 LSB,0x0000,0x0000,
VDM Sample 143 MSB,0x0000,0x0000,
VDM Sample 143 LSB,0x0000,0x0000,
VDM Sample 144 MSB,0x0000,0x0000,
VDM Sample 144 LSB,0x0000,0x0000,
VDM Sample 145 MSB,0x0000,0x0000,
VDM Sample 145 LSB,0x0000,0x0000,
VDM Sample 146 MSB,0x0000,0x0000,
VDM Sample 146 LSB,0x0000,0x0000,
VDM Sample 147 MSB,0x0000,0x0000,
VDM Sample 147 LSB,0x0000,0x0000,
VDM Sample 148 MSB,0x0000,0x0000,
VDM Sample 148 LSB,0x0000,0x0000,
VDM Sample 149 MSB,0x0000,0x0000,
VDM Sample 149 LSB,0x0000,0x0000,
VDM Sample 150 MSB,0x0000,0x0000,
VDM Sample 150 LSB,0x0000,0x0000,
VDM Sample 151 MSB,0x0000,0x0000,
VDM Sample 151 LSB,0x0000,0x0000,
VDM Sample 152 MSB,0x0000,0x0000,
VDM Sample 152 LSB,0x0000,0x0000,
VDM Sample 153 MSB,0x0000,0x0000,
VDM Sample 153 LSB,0x0000,0x0000,
VDM Sample 154 MSB,0x0000,0x0000,
VDM Sample 154 LSB,0x0000,0x0000,
VDM Sample 155 MSB,0x0000,0x0000,
VDM Sample 155 LSB,0x0000,0x0000,
VDM Sample 156 MSB,0x0000,0x0000,
VDM Sample 156 LSB,0x0000,0x0000,
VDM Sample 157 MSB,0x0000,0x0000,
VDM Sample 157 LSB,0x0000,0x0000,
VDM Sample 158 MSB,0x0000,0x0000,
VDM Sample 158 LSB,0x0000,0x0000,
VDM Sample 159 MSB,0x0000,0x0000,
VDM Sample 159 LSB,0x0000,0x0000,
VDM Sample 160 MSB,0x0000,0x0000,
VDM Sample 160 LSB,0x0000,0x0000,
VDM Sample 161 MSB,0x0000,0x0000,
VDM Sample 161 LSB,0x0000,0x0000,
VDM Sample 162 MSB,0x0000,0x0000,
VDM Sample 162 LSB,0x0000,0x0000,
VDM Sample 163 MSB,0x0000,0x0000,
VDM Sample 163 LSB,0x0000,0x0000,
VDM Sample 164 MSB,0x0000,0x0000,
VDM Sample 164 LSB,0x0000,0x0000,
VDM Sample 165 MSB,0x0000,0x0000,
VDM Sample 165 LSB,0x0000,0x0000,
VDM Sample 166 MSB,0x0000,0x0000,
VDM Sample 166 LSB,0x0000,0x0000,
VDM Sample 167 MSB,0x0000,0x0000,
VDM Sample 167 LSB,0x0000,0x0000,
VDM Sample 168 MSB,0x0000,0x0000,
VDM Sample 168 LSB,0x0000,0x0000,
VDM Sample 169 MSB,0x0000,0x0000,
VDM Sample 169 LSB,0x0000,0x0000,
VDM Sample 170 MSB,0x0000,0x0000,
VDM Sample 170 LSB,0x0000,0x0000,
VDM Sample 171 MSB,0x0000,0x0000,
VDM Sample 171 LSB,0x0000,0x0000,
VDM Sample 172 MSB,0x0000,0x0000,
VDM Sample 172 LSB,0x0000,0x0000,
VDM Sample 173 MSB,0x0000,0x0000,
VDM Sample 173 LSB,0x0000,0x0000,
VDM Sample 174 MSB,0x0000,0x0000,
VDM Sample 174 LSB,0x0000,0x0000,
VDM Sample 175 MSB,0x0000,0x0000,
VDM Sample 175 LSB,0x0000,0x0000,
VDM Sample 176 MSB,0x0000,0x0000,
VDM Sample 176 LSB,0x0000,0x0000,
VDM Sample 177 MSB,0x0000,0x0000,
VDM Sample 177 LSB,0x0000,0x0000,
VDM Sample 178 MSB,0x0000,0x0000,
VDM Sample 178 LSB,0x0000,0x0000,
VDM Sample 179 MSB,0x0000,0x0000,
VDM Sample 179 LSB,0x0000,0x0000,
VDM Sample 180 MSB,0x0000,0x0000,
VDM Sample 180 LSB,0x0000,0x0000,
VDM Sample 181 MSB,0x0000,0x0000,
VDM Sample 181 LSB,0x0000,0x0000,
VDM Sample 182 MSB,0x0000,0x0000,
VDM Sample 182 LSB,0x0000,0x0000,
VDM Sample 183 MSB,0x0000,0x0000,
VDM Sample 183 LSB,0x0000,0x0000,
VDM Sample 184 MSB,0x0000,0x0000,
VDM Sample 184 LSB,0x0000,0x0000,
VDM Sample 185 MSB,0x0000,0x0000,
VDM Sample 185 LSB,0x0000,0x0000,
VDM Sample 186 MSB,0x0000,0x0000,
VDM Sample 186 LSB,0x0000,0x0000,
VDM Sample 187 MSB,0x0000,0x0000,
VDM Sample 187 LSB,0x0000,0x0000,
VDM Sample 188 MSB,0x0000,0x0000,
VDM Sample 188 LSB,0x0000,0x0000,
VDM Sample 189 MSB,0x0000,0x0000,
VDM Sample 189 LSB,0x0000,0x0000,
VDM Sample 190 MSB,0x0000,0x0000,
VDM Sample 190 LSB,0x0000,0x0000,
VDM Sample 191 MSB,0x0000,0x0000,
VDM Sample 191 LSB,0x0000,0x0000,
VDM Sample 192 MSB,0x0000,0x0000,
VDM Sample 192 LSB,0x0000,0x0000,
