Page 0x11 Registers Name,Port 1,Port 2,Port 3,Port 4,
Data Path State Lane 1/Lane 2,0x0000,0x0000,0x0044,0x0044,
Data Path State Lane 3/Lane 4,0x0000,0x0000,0x0044,0x0044,
Data Path State Lane 5/Lane 6,0x0000,0x0000,0x0044,0x0044,
Data Path State Lane 7/Lane 8,0x0000,0x0000,0x0044,0x0044,
Rx Output Status Lane 1-8,0x0000,0x0000,0x00ff,0x00ff,
Tx Output Status Lane 1-8,0x0000,0x0000,0x00ff,0x00ff,
Data Path State Changed Flag,0x0000,0x0000,0x0000,0x0000,
Tx Fault Flag,0x0000,0x0000,0x0000,0x0000,
Tx LOS Flag,0x0000,0x0000,0x0000,0x0000,
Tx CDR LOL Flag,0x0000,0x0000,0x0000,0x0000,
Tx Adaptive Input Eq Fault Flag,0x0000,0x0000,0x0000,0x0000,
Tx Power High Alarm,0x0000,0x0000,0x0000,0x0000,
Tx Power Low Alarm,0x0000,0x0000,0x0000,0x0000,
Tx Power High Warning,0x0000,0x0000,0x0000,0x0000,
Tx Power Low Warning,0x0000,0x0000,0x0000,0x0000,
Tx Bias High Alarm,0x0000,0x0000,0x0000,0x0000,
Tx Bias Low Alarm,0x0000,0x0000,0x0000,0x0000,
Tx Bias High Warning,0x0000,0x0000,0x0000,0x0000,
Tx Bias Low Warning,0x0000,0x0000,0x0000,0x0000,
Rx LOS Flag,0x0000,0x0000,0x0000,0x0000,
Rx CDR LOL Flag,0x0000,0x0000,0x0000,0x0000,
Rx Power High Alarm,0x0000,0x0000,0x0000,0x0000,
Rx Power Low Alarm,0x0000,0x0000,0x0000,0x0000,
Rx Power High Warning,0x0000,0x0000,0x0000,0x0000,
Rx Power Low Warning,0x0000,0x0000,0x0000,0x0000,
Rx Output Status Changed Flag,0x0000,0x0000,0x0000,0x0000,
Tx1 Power MSB,0x0000,0x0000,0x003a,0x003b,
Tx1 Power LSB,0x0000,0x0000,0x0056,0x0075,
Tx2 Power MSB,0x0000,0x0000,0x0037,0x003f,
Tx2 Power LSB,0x0000,0x0000,0x0001,0x00a6,
Tx3 Power MSB,0x0000,0x0000,0x0044,0x003f,
Tx3 Power LSB,0x0000,0x0000,0x00ae,0x0072,
Tx4 Power MSB,0x0000,0x0000,0x0043,0x003d,
Tx4 Power LSB,0x0000,0x0000,0x0010,0x002b,
Tx5 Power MSB,0x0000,0x0000,0x0040,0x0041,
Tx5 Power LSB,0x0000,0x0000,0x0073,0x008d,
Tx6 Power MSB,0x0000,0x0000,0x003f,0x003c,
Tx6 Power LSB,0x0000,0x0000,0x0026,0x009f,
Tx7 Power MSB,0x0000,0x0000,0x0041,0x0042,
Tx7 Power LSB,0x0000,0x0000,0x0030,0x00c3,
Tx8 Power MSB,0x0000,0x0000,0x003f,0x0043,
Tx8 Power LSB,0x0000,0x0000,0x00f6,0x00c9,
Tx1 Bias MSB,0x0000,0x0000,0x0079,0x0077,
Tx1 Bias LSB,0x0000,0x0000,0x00e6,0x0084,
Tx2 Bias MSB,0x0000,0x0000,0x0079,0x0077,
Tx2 Bias LSB,0x0000,0x0000,0x00d7,0x00b2,
Tx3 Bias MSB,0x0000,0x0000,0x006e,0x006d,
Tx3 Bias LSB,0x0000,0x0000,0x002e,0x00c5,
Tx4 Bias MSB,0x0000,0x0000,0x006e,0x006d,
Tx4 Bias LSB,0x0000,0x0000,0x000f,0x00d4,
Tx5 Bias MSB,0x0000,0x0000,0x005e,0x006c,
Tx5 Bias LSB,0x0000,0x0000,0x00b6,0x001b,
Tx6 Bias MSB,0x0000,0x0000,0x005e,0x006c,
Tx6 Bias LSB,0x0000,0x0000,0x00c5,0x003a,
Tx7 Bias MSB,0x0000,0x0000,0x005d,0x006d,
Tx7 Bias LSB,0x0000,0x0000,0x0094,0x00a7,
Tx8 Bias MSB,0x0000,0x0000,0x005d,0x006d,
Tx8 Bias LSB,0x0000,0x0000,0x0076,0x0098,
Rx1 Power MSB,0x0000,0x0000,0x0041,0x0035,
Rx1 Power LSB,0x0000,0x0000,0x001b,0x008c,
Rx2 Power MSB,0x0000,0x0000,0x0032,0x0032,
Rx2 Power LSB,0x0000,0x0000,0x00c9,0x0084,
Rx3 Power MSB,0x0000,0x0000,0x003c,0x001f,
Rx3 Power LSB,0x0000,0x0000,0x00e5,0x00a7,
Rx4 Power MSB,0x0000,0x0000,0x0037,0x0039,
Rx4 Power LSB,0x0000,0x0000,0x00ba,0x00f9,
Rx5 Power MSB,0x0000,0x0000,0x0041,0x0035,
Rx5 Power LSB,0x0000,0x0000,0x007c,0x00f9,
Rx6 Power MSB,0x0000,0x0000,0x0039,0x0041,
Rx6 Power LSB,0x0000,0x0000,0x00a9,0x0072,
Rx7 Power MSB,0x0000,0x0000,0x003d,0x0035,
Rx7 Power LSB,0x0000,0x0000,0x002b,0x0087,
Rx8 Power MSB,0x0000,0x0000,0x003e,0x0038,
Rx8 Power LSB,0x0000,0x0000,0x000f,0x00b5,
Config Command Status Lane 1/Lane 2,0x0000,0x0000,0x0000,0x0000,
Config Command Status Lane 3/Lane 4 ,0x0000,0x0000,0x0000,0x0000,
Config Command Status Lane 5/Lane 6 ,0x0000,0x0000,0x0000,0x0000,
Config Command Status Lane 7/Lane 8 ,0x0000,0x0000,0x0000,0x0000,
Active Control Set Lane 1,0x0000,0x0000,0x0010,0x0010,
Active Control Set Lane 2,0x0000,0x0000,0x0012,0x0012,
Active Control Set Lane 3,0x0000,0x0000,0x0014,0x0014,
Active Control Set Lane 4,0x0000,0x0000,0x0016,0x0016,
Active Control Set Lane 5,0x0000,0x0000,0x0018,0x0018,
Active Control Set Lane 6,0x0000,0x0000,0x001a,0x001a,
Active Control Set Lane 7,0x0000,0x0000,0x001c,0x001c,
Active Control Set Lane 8,0x0000,0x0000,0x001e,0x001e,
Active Set Tx Adaptive Input Eq Enable,0x0000,0x0000,0x00ff,0x00ff,
Active Set Tx Adaptive Input Eq Recall Tx1-Tx4,0x0000,0x0000,0x0000,0x0000,
Active Set Tx Adaptive Input Eq Recall Tx5-Tx8,0x0000,0x0000,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx1/Tx2,0x0000,0x0000,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx3/Tx4,0x0000,0x0000,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx5/Tx6,0x0000,0x0000,0x0000,0x0000,
Manual Fixed Tx Input EQ Control Tx7/Tx8,0x0000,0x0000,0x0000,0x0000,
Active Set Tx CDR Control,0x0000,0x0000,0x00ff,0x00ff,
Active Set Rx CDR control,0x0000,0x0000,0x00ff,0x00ff,
Active Set Rx1/Rx2 Output Eq Control Pre-cursor,0x0000,0x0000,0x0033,0x0033,
Active Set Rx3/Rx4 Output Eq Control Pre-cursor,0x0000,0x0000,0x0033,0x0033,
Active Set Rx5/Rx6 Output Eq Control Pre-cursor,0x0000,0x0000,0x0033,0x0033,
Active Set Rx7/Rx8 Output Eq Control Pre-cursor,0x0000,0x0000,0x0033,0x0033,
Active Set Rx1/Rx2 Output Eq Control Post-cursor,0x0000,0x0000,0x0000,0x0000,
Active Set Rx3/Rx4 Output Eq Control Post-cursor,0x0000,0x0000,0x0000,0x0000,
Active Set Rx5/Rx6 Output Eq Control Post-cursor,0x0000,0x0000,0x0000,0x0000,
