Port Flow Statistics,Port 1,Port 2,Port 3,Port 4,
link,link up,link up,link up,link up,
lineSpeed,800000,800000,800000,800000,
transmitDuration,00:00:10.298415706,00:00:10.301057539,00:00:10.303454024,00:00:10.311004583,
framesSent,6958388934,6960173959,6961793203,6966894933,
framesReceived,6958388934,6960173959,6961793203,6966894933,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,7125390268416,7127218134016,7128876239872,7134100411392,
bitsReceived,7127218134016,7125390268416,7134100411392,7128876239872,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecTotalBitErrors,0,0,1028,58,
fecMaxSymbolErrors,0,0,1,1,
fecCorrectedCodewords,0,0,1028,58,
fecTotalCodewords,2090632288,2090333984,2090052128,2089761280,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
preFecBer,0.000000e+00,0.000000e+00,9.041429e-11,5.101906e-12,
fecMaxSymbolErrorsBin0,2090632288,2090333984,2090051100,2089761222,
fecMaxSymbolErrorsBin1,0,0,1028,58,
fecMaxSymbolErrorsBin2,0,0,0,0,
fecMaxSymbolErrorsBin3,0,0,0,0,
fecMaxSymbolErrorsBin4,0,0,0,0,
fecMaxSymbolErrorsBin5,0,0,0,0,
fecMaxSymbolErrorsBin6,0,0,0,0,
fecMaxSymbolErrorsBin7,0,0,0,0,
fecMaxSymbolErrorsBin8,0,0,0,0,
fecMaxSymbolErrorsBin9,0,0,0,0,
fecMaxSymbolErrorsBin10,0,0,0,0,
fecMaxSymbolErrorsBin11,0,0,0,0,
fecMaxSymbolErrorsBin12,0,0,0,0,
fecMaxSymbolErrorsBin13,0,0,0,0,
fecMaxSymbolErrorsBin14,0,0,0,0,
fecMaxSymbolErrorsBin15,0,0,0,0,
fecUncorrectableCodewords,0,0,0,0,
fecTranscodingUncorrectableErrors,0,0,0,0,
l1BitsSent,8238732497856,8240845967456,8242763152352,8248803600672,
l1BitsReceived,8240845967456,8238732497856,8248803600672,8242763152352,
transceiverTemp,0,0,58,57,
encoding,PAM4 106G,PAM4 106G,PAM4 106G,PAM4 106G,
fecStatus,KP4-FEC,KP4-FEC,KP4-FEC,KP4-FEC,
transceiverVoltage,0,0,3.2448000000000001,3.2359,
minLatency,0,0,2251520,85897091523,
averageLatency,2,1,2251526,315161108,
maxLatency,6,4,2251529,85897091532,
Loss_Frames,0,0,0,0,
Loss%,0.0,0.0,0.0,0.0,
