Page 0x12 Registers Name,Port 3,
Lane 1 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 2 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 3 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 4 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 5 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 6 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 7 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 8 Selected Grid Spacing / Fine-tuning Enable,0x0000,
Lane 1 Channel Number MSB,0x0000,
Lane 1 Channel Number LSB,0x0000,
Lane 2 Channel Number MSB,0x0000,
Lane 2 Channel Number LSB,0x0000,
Lane 3 Channel Number MSB,0x0000,
Lane 3 Channel Number LSB,0x0000,
Lane 4 Channel Number MSB,0x0000,
Lane 4 Channel Number LSB,0x0000,
Lane 5 Channel Number MSB,0x0000,
Lane 5 Channel Number LSB,0x0000,
Lane 6 Channel Number MSB,0x0000,
Lane 6 Channel Number LSB,0x0000,
Lane 7 Channel Number MSB,0x0000,
Lane 7 Channel Number LSB,0x0000,
Lane 8 Channel Number MSB,0x0000,
Lane 8 Channel Number LSB,0x0000,
Lane 1 Fine-tuning Offset MSB,0x0000,
Lane 1 Fine-tuning Offset LSB,0x0000,
Lane 2 Fine-tuning Offset MSB,0x0000,
Lane 2 Fine-tuning Offset LSB,0x0000,
Lane 3 Fine-tuning Offset MSB,0x0000,
Lane 3 Fine-tuning Offset LSB,0x0000,
Lane 4 Fine-tuning Offset MSB,0x0000,
Lane 4 Fine-tuning Offset LSB,0x0000,
Lane 5 Fine-tuning Offset MSB,0x0000,
Lane 5 Fine-tuning Offset LSB,0x0000,
Lane 6 Fine-tuning Offset MSB,0x0000,
Lane 6 Fine-tuning Offset LSB,0x0000,
Lane 7 Fine-tuning Offset MSB,0x0000,
Lane 7 Fine-tuning Offset LSB,0x0000,
Lane 8 Fine-tuning Offset MSB,0x0000,
Lane 8 Fine-tuning Offset LSB,0x0000,
Lane 1 Current Laser Frequency in THz MSB,0x0000,
Lane 1 Current Laser Frequency in THz LSB,0x0000,
Lane 1 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 1 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 2 Current Laser Frequency in THz MSB,0x0000,
Lane 2 Current Laser Frequency in THz LSB,0x0000,
Lane 2 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 2 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 3 Current Laser Frequency in THz MSB,0x0000,
Lane 3 Current Laser Frequency in THz LSB,0x0000,
Lane 3 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 3 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 4 Current Laser Frequency in THz MSB,0x0000,
Lane 4 Current Laser Frequency in THz LSB,0x0000,
Lane 4 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 4 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 5 Current Laser Frequency in THz MSB,0x0000,
Lane 5 Current Laser Frequency in THz LSB,0x0000,
Lane 5 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 5 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 6 Current Laser Frequency in THz MSB,0x0000,
Lane 6 Current Laser Frequency in THz LSB,0x0000,
Lane 6 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 6 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 7 Current Laser Frequency in THz MSB,0x0000,
Lane 7 Current Laser Frequency in THz LSB,0x0000,
Lane 7 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 7 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 8 Current Laser Frequency in THz MSB,0x0000,
Lane 8 Current Laser Frequency in THz LSB,0x0000,
Lane 8 Current Laser Fractional Frequency in 0.05 GHz MSB,0x0000,
Lane 8 Current Laser Fractional Frequency in 0.05 GHz LSB,0x0000,
Lane 1 Target Output Power MSB,0x0000,
Lane 1 Target Output Power LSB,0x0000,
Lane 2 Target Output Power MSB,0x0000,
Lane 2 Target Output Power LSB,0x0000,
Lane 3 Target Output Power MSB,0x0000,
Lane 3 Target Output Power LSB,0x0000,
Lane 4 Target Output Power MSB,0x0000,
Lane 4 Target Output Power LSB,0x0000,
Lane 5 Target Output Power MSB,0x0000,
Lane 5 Target Output Power LSB,0x0000,
Lane 6 Target Output Power MSB,0x0000,
Lane 6 Target Output Power LSB,0x0000,
Lane 7 Target Output Power MSB,0x0000,
Lane 7 Target Output Power LSB,0x0000,
Lane 8 Target Output Power MSB,0x0000,
Lane 8 Target Output Power LSB,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Lane 1 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 2 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 3 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 4 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 5 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 6 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 7 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 8 Tuning In Progress / Wavelength Unlocked,0x0000,
Lane 1-8 Laser Tuned Summary,0x0000,
Lane 1 Latched Flags,0x0000,
Lane 2 Latched Flags,0x0000,
Lane 3 Latched Flags,0x0000,
Lane 4 Latched Flags,0x0000,
Lane 5 Latched Flags,0x0000,
Lane 6 Latched Flags,0x0000,
Lane 7 Latched Flags,0x0000,
Lane 8 Latched Flags,0x0000,
Lane 1 Interrupt Masks,0x0000,
Lane 2 Interrupt Masks,0x0000,
Lane 3 Interrupt Masks,0x0000,
Lane 4 Interrupt Masks,0x0000,
Lane 5 Interrupt Masks,0x0000,
Lane 6 Interrupt Masks,0x0000,
Lane 7 Interrupt Masks,0x0000,
Lane 8 Interrupt Masks,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
Reserved,0x0000,
