Port Flow Statistics,Port 1,Port 2,
link,link up,link up,
lineSpeed,100000,100000,
transmitDuration,00:00:10.179065958,00:00:10.178395357,
framesSent,859718409,859661770,
framesReceived,859718409,859661770,
fragments,0,0,
undersize,0,0,
oversizeAndCrcErrors,0,0,
vlanTaggedFramesRx,0,0,
flowControlFrames,0,0,
bitsSent,880351650816,880293652480,
bitsReceived,880293652480,880351650816,
pcsSyncErrorsReceived,0,0,
pcsRemoteFaultsReceived,0,0,
pcsLocalFaultsReceived,0,0,
fecCorrectedCodewords,0,0,
fecTotalCodewords,255519650,255519650,
fecFrameLossRatio,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,
l1BitsSent,1017906596256,1017839535680,
l1BitsReceived,1017839535680,1017906596256,
transceiverTemp,0,0,
transceiverVoltage,0,0,
minLatency,85899018240,310050,
averageLatency,5714785684,310054,
maxLatency,85899035850,310070,
Loss_Frames,0,0,
Loss%,0.0,0.0,
