Page 0x12 Registers Name,Port 1,Port 2,Port 3,Port 4,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
Checksum,0x0000,0x0000,0x0000,0x0000,
