Port Flow Statistics,Port 9,Port 10,Port 11,Port 12,
link,link up,link up,link up,link up,
lineSpeed,400000,400000,400000,400000,
transmitDuration,00:00:30.467322475,00:00:30.477919670,00:00:30.486521915,00:00:30.500884953,
framesSent,10293014346,10296594481,10299500644,10304353022,
framesReceived,10304353022,10299500644,10296594481,10293014346,
fragments,0,0,0,0,
undersize,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,
flowControlFrames,0,0,0,0,
bitsSent,10540046690304,10543712748544,10546688659456,10551657494528,
bitsReceived,10546688659456,10551657494528,10540046690304,10543712748544,
pcsSyncErrorsReceived,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,
fecTotalBitErrors,1,1,1,0,
fecMaxSymbolErrors,1,1,1,0,
fecCorrectedCodewords,1,1,1,0,
fecTotalCodewords,2622232128,2622100768,2621982280,2621849152,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
preFecBer,7.0101928600794224e-14,7.0105440513628917e-14,7.0108608595083524e-14,0,
fecMaxSymbolErrorsBin0,2622232127,2622100767,2621982279,2621849152,
fecMaxSymbolErrorsBin1,1,1,1,0,
fecMaxSymbolErrorsBin2,0,0,0,0,
fecMaxSymbolErrorsBin3,0,0,0,0,
fecMaxSymbolErrorsBin4,0,0,0,0,
fecMaxSymbolErrorsBin5,0,0,0,0,
fecMaxSymbolErrorsBin6,0,0,0,0,
fecMaxSymbolErrorsBin7,0,0,0,0,
fecMaxSymbolErrorsBin8,0,0,0,0,
fecMaxSymbolErrorsBin9,0,0,0,0,
fecMaxSymbolErrorsBin10,0,0,0,0,
fecMaxSymbolErrorsBin11,0,0,0,0,
fecMaxSymbolErrorsBin12,0,0,0,0,
fecMaxSymbolErrorsBin13,0,0,0,0,
fecMaxSymbolErrorsBin14,0,0,0,0,
fecMaxSymbolErrorsBin15,0,0,0,0,
fecUncorrectableCodewords,0,0,0,0,
fecTranscodingUncorrectableErrors,0,0,0,0,
l1BitsSent,12186928985664,12191167865504,12194608762496,12200353978048,
l1BitsReceived,12194608762496,12200353978048,12186928985664,12191167865504,
transceiverTemp,0,0,0,0,
encoding,2,2,2,2,
fecStatus,4,4,4,4,
transceiverVoltage,0,0,0,0,
minLatency,2270998,2270996,85897074931,85897074930,
averageLatency,2271003,2271001,123306265,109828541,
maxLatency,2271006,2271004,85897074939,85897074937,
Loss_Frames,-11338676,-2906163,2906163,11338676,
Loss%,-0.001101589448809654,-0.00028224506708141766,0.0002821654272814666,0.001100377284803005,
