Page 0x12 Registers Name,Port 1,Port 2,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
Checksum,0x0000,0x0000,
