Port Flow Statistics,Port 61,Port 62,Port 63,Port 64,Port 65,Port 66,Port 67,Port 68,
link,link up,link up,link up,link up,link up,link up,link up,link up,
lineSpeed,50000,50000,50000,50000,50000,50000,50000,50000,
transmitDuration,00:00:30.219384987,00:00:30.218915808,00:00:30.218420548,00:00:30.217976329,00:00:30.217480184,00:00:30.217002879,00:00:30.216469271,00:00:30.215789599,
framesSent,2248466145,2248431236,2248394386,2248361334,2248324419,2248288905,2248249202,2248198631,
framesReceived,2248361334,2248394386,2248431236,2248466145,2248198631,2248249202,2248288905,2248324419,
fragments,0,0,0,0,0,0,0,0,
undersize,0,0,0,0,0,0,0,0,
oversizeAndCrcErrors,0,0,0,0,0,0,0,0,
vlanTaggedFramesRx,0,0,0,0,0,0,0,0,
flowControlFrames,0,0,0,0,0,0,0,0,
bitsSent,1151214666240,1151196792832,1151177925632,1151161003008,1151142102528,1151123919360,1151103591424,1151077699072,
bitsReceived,1151177925632,1151161003008,1151214666240,1151196792832,1151103591424,1151077699072,1151142102528,1151123919360,
pcsSyncErrorsReceived,0,0,0,0,0,0,0,0,
pcsRemoteFaultsReceived,0,0,0,0,0,0,0,0,
pcsLocalFaultsReceived,0,0,0,0,0,0,0,0,
fecCorrectedCodewords,0,0,0,0,0,0,0,0,
fecTotalCodewords,323239948,323203611,323173829,323140506,323111271,323079246,323050506,323019073,
fecFrameLossRatio,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,
fecUncorrectableCodewords,0,0,0,0,0,0,0,0,
l1BitsSent,1510969249440,1510945790592,1510921027392,1510898816448,1510874009568,1510850144160,1510823463744,1510789480032,
l1BitsReceived,1510921027392,1510898816448,1510969249440,1510945790592,1510823463744,1510789480032,1510874009568,1510850144160,
transceiverTemp,0,0,0,0,36,36,36,36,
transceiverVoltage,0,0,0,0,3.2473999999999998,3.2473999999999998,3.2446000000000002,3.2446000000000002,
minLatency,85898608640,85898608640,700455,676572,54899120,54561360,85844377600,85844705280,
averageLatency,2060510280,2038873691,700459,676575,54899198,54561378,1919177375,1898385072,
maxLatency,85898645505,85898669385,700467,676582,54899205,54561387,85844446770,85844784590,
Loss_Frames,104811,36850,-36850,-104811,125788,39703,-39703,-125788,
Loss%,4.661444435490933e-05,1.638920479754445e-05,-1.638947340798066e-05,-4.66166173626254e-05,5.594744198701869e-05,1.7659207369526205e-05,-1.7659519222638203e-05,-5.5950572278415375e-05,
